# Information for reference sequence construct.
ref_name	Oct4_motif_position
NPS601_wt	
NPS601_Oct4_0	0
NPS601_Oct4_1	1
NPS601_Oct4_2	2
NPS601_Oct4_3	3
NPS601_Oct4_4	4
NPS601_Oct4_5	5
NPS601_Oct4_6	6
NPS601_Oct4_7	7
NPS601_Oct4_8	8
NPS601_Oct4_9	9
NPS601_Oct4_10	10
NPS601_Oct4_11	11
NPS601_Oct4_12	12
NPS601_Oct4_13	13
NPS601_Oct4_14	14
NPS601_Oct4_15	15
NPS601_Oct4_16	16
NPS601_Oct4_17	17
NPS601_Oct4_18	18
NPS601_Oct4_19	19
NPS601_Oct4_20	20
NPS601_Oct4_21	21
NPS601_Oct4_22	22
NPS601_Oct4_23	23
NPS601_Oct4_24	24
NPS601_Oct4_25	25
NPS601_Oct4_26	26
NPS601_Oct4_27	27
NPS601_Oct4_28	28
NPS601_Oct4_29	29
NPS601_Oct4_30	30
NPS601_Oct4_31	31
NPS601_Oct4_32	32
NPS601_Oct4_33	33
NPS601_Oct4_34	34
NPS601_Oct4_35	35
NPS601_Oct4_36	36
NPS601_Oct4_37	37
NPS601_Oct4_38	38
NPS601_Oct4_39	39
NPS601_Oct4_40	40
NPS601_Oct4_41	41
NPS601_Oct4_42	42
NPS601_Oct4_43	43
NPS601_Oct4_44	44
NPS601_Oct4_45	45
NPS601_Oct4_46	46
NPS601_Oct4_47	47
NPS601_Oct4_48	48
NPS601_Oct4_49	49
NPS601_Oct4_50	50
NPS601_Oct4_51	51
NPS601_Oct4_52	52
NPS601_Oct4_53	53
NPS601_Oct4_54	54
NPS601_Oct4_55	55
NPS601_Oct4_56	56
NPS601_Oct4_57	57
NPS601_Oct4_58	58
NPS601_Oct4_59	59
NPS601_Oct4_60	60
NPS601_Oct4_61	61
NPS601_Oct4_62	62
NPS601_Oct4_63	63
NPS601_Oct4_64	64
NPS601_Oct4_65	65
NPS601_Oct4_66	66
NPS601_Oct4_67	67
NPS601_Oct4_68	68
NPS601_Oct4_69	69
NPS601_Oct4_70	70
NPS601_Oct4_71	71
NPS601_Oct4_72	72
NPS601_Oct4_73	73
NPS601_Oct4_74	74
NPS601_Oct4_75	75
NPS601_Oct4_76	76
NPS601_Oct4_77	77
NPS601_Oct4_78	78
NPS601_Oct4_79	79
NPS601_Oct4_80	80
NPS601_Oct4_81	81
NPS601_Oct4_82	82
NPS601_Oct4_83	83
NPS601_Oct4_84	84
NPS601_Oct4_85	85
NPS601_Oct4_86	86
NPS601_Oct4_87	87
NPS601_Oct4_88	88
NPS601_Oct4_89	89
NPS601_Oct4_90	90
NPS601_Oct4_91	91
NPS601_Oct4_92	92
NPS601_Oct4_93	93
NPS601_Oct4_94	94
NPS601_Oct4_95	95
NPS601_Oct4_96	96
NPS601_Oct4_97	97
NPS601_Oct4_98	98
NPS601_Oct4_99	99
NPS601_Oct4_100	100
NPS601_Oct4_101	101
NPS601_Oct4_102	102
NPS601_Oct4_103	103
NPS601_Oct4_104	104
NPS601_Oct4_105	105
NPS601_Oct4_106	106
NPS601_Oct4_107	107
NPS601_Oct4_108	108
NPS601_Oct4_109	109
NPS601_Oct4_110	110
NPS601_Oct4_111	111
NPS601_Oct4_112	112
NPS601_Oct4_113	113
NPS601_Oct4_114	114
NPS601_Oct4_115	115
NPS601_Oct4_116	116
NPS601_Oct4_117	117
NPS601_Oct4_118	118
NPS601_Oct4_119	119
NPS601_Oct4_120	120
NPS601_Oct4_121	121
NPS601_Oct4_122	122
NPS601_Oct4_123	123
NPS601_Oct4_124	124
NPS601_Oct4_125	125
NPS601_Oct4_126	126
NPS601_Oct4_127	127
NPS601_Oct4_128	128
NPS601_Oct4_129	129
NPS601_Oct4_130	130
NPS601_Oct4_131	131
NPS601_Oct4_132	132
